,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,276,137,66,110,70,67,169,507,0.2991943359375,0.6505126953125,0.161376953125,-0.67913818359375,-1.021484375,0.07421875,0.1025390625,-46.25,-5.0625,5.375
0,252,117,70,121,76,68,167,461,0.30218505859375,0.6485595703125,0.16436767578125,-0.67901611328125,-1.046875,0.06787109375,0.09912109375,-25.875,-5.5625,6.8125
0,271,121,79,137,84,84,177,572,0.30438232421875,0.6474609375,0.1654052734375,-0.67877197265625,-1.05810546875,0.1318359375,0.08447265625,-14.125,-5.9375,7.5625
0,270,121,80,137,94,89,180,522,0.30718994140625,0.64764404296875,0.1654052734375,-0.6773681640625,-1.03466796875,0.22607421875,0.0302734375,-12.75,-2.3125,10.4375
0,292,124,85,154,100,84,166,447,0.3118896484375,0.6480712890625,0.16595458984375,-0.67462158203125,-0.9951171875,0.23974609375,0.0244140625,-23.0,2.75,17.6875
0,284,109,90,159,104,83,152,449,0.318359375,0.64794921875,0.16845703125,-0.67108154296875,-0.95556640625,0.22509765625,0.01025390625,-38.75,4.75,18.8125
0,317,112,93,163,106,84,160,492,0.3265380859375,0.6470947265625,0.17236328125,-0.6669921875,-0.921875,0.208984375,0.04638671875,-51.9375,7.5625,21.75
0,315,157,88,154,102,68,129,347,0.335205078125,0.64605712890625,0.17755126953125,-0.662353515625,-0.92919921875,0.20849609375,0.02978515625,-59.5625,9.75,20.25
0,303,153,86,154,94,56,106,298,0.3438720703125,0.64483642578125,0.182861328125,-0.65765380859375,-0.9111328125,0.13232421875,0.05810546875,-59.75,11.75,24.75
0,267,151,103,149,92,60,109,300,0.35028076171875,0.64495849609375,0.18634033203125,-0.653076171875,-0.890625,0.15234375,0.03466796875,-41.75,13.6875,23.125
0,268,155,99,137,94,71,116,294,0.35626220703125,0.64630126953125,0.18951416015625,-0.64764404296875,-0.92578125,0.193359375,-0.01220703125,-38.6875,18.1875,23.6875
0,208,155,104,129,97,69,90,199,0.36346435546875,0.6461181640625,0.194091796875,-0.64239501953125,-0.94189453125,0.20068359375,-0.00732421875,-51.0,13.75,21.1875
0,196,127,105,132,98,71,84,217,0.37127685546875,0.6446533203125,0.200439453125,-0.637451171875,-0.9462890625,0.15771484375,-0.02490234375,-62.1875,9.875,18.125
